level	event	country	league	type	link	link_second	year	group
2	英格兰	英格兰	英冠	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/37_87.html		2024-2025	默认组
3	英格兰	英格兰	英甲	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/39_135.html		2024-2025	默认组
4	英格兰	英格兰	英乙	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/35_139.html		2024-2025	默认组
5	英格兰	英格兰	英议联	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/146_141.html		2024-2025	默认组
6	英格兰	英格兰	英议南	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/298_184.html		2024-2025	默认组
6	英格兰	英格兰	英议北	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/297_188.html		2024-2025	默认组
1	英格兰	英格兰	英总女超	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/1147.html		2024-2025	默认组
1	英格兰	英格兰	英U21	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/1260_1001.html		2024-2025	默认组
1	意大利	意大利	意甲	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/34.html		2024-2025	默认组
2	意大利	意大利	意乙	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/40_261.html		2024-2025	默认组
3	意大利	意大利	意丙1	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/142_1525.html		2024-2025	A组
3	意大利	意大利	意丙1	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/142_1526.html		2024-2025	B组
3	意大利	意大利	意丙1	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/142_1527.html		2024-2025	C组
1	意大利	意大利	意青联	常规	http://zq.titan007.com/cn/SubLeague/2023-2024/677_833.html		2023-2024	默认组
2	西班牙	西班牙	西乙	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/33_546.html		2024-2025	默认组
3	西班牙	西班牙	西协甲	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/2254_2553.html		2024-2025	A组
3	西班牙	西班牙	西协甲	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/2254_2554.html		2024-2025	B组
4	西班牙	西班牙	西协乙	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/1413_1326.html		2024-2025	1组
4	西班牙	西班牙	西协乙	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/1413_1327.html		2024-2025	2组
4	西班牙	西班牙	西协乙	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/1413_1328.html		2024-2025	3组
4	西班牙	西班牙	西协乙	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/1413_1329.html		2024-2025	4组
4	西班牙	西班牙	西协乙	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/1413_2243.html		2024-2025	5组
1	西班牙	西班牙	西女超	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/1186.html		2024-2025	默认组
2	德国	德国	德乙	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/9_132.html		2024-2025	默认组
2	法国	法国	法乙	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/12_1778.html		2024-2025	默认组
3	法国	法国	法丙	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/203_1776.html		2024-2025	默认组
1	葡萄牙	葡萄牙	葡超	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/23.html		2024-2025	默认组
2	葡萄牙	葡萄牙	葡甲	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/157_1787.html		2024-2025	默认组
1	葡萄牙	葡萄牙	葡U23	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/1957_2549.html		2024-2025	A组
1	葡萄牙	葡萄牙	葡U23	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/1957_2550.html		2024-2025	B组
1	苏格兰	苏格兰	苏超	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/29_2498.html		2024-2025	默认组
2	苏格兰	苏格兰	苏冠	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/150_1115.html		2024-2025	默认组
3	苏格兰	苏格兰	苏甲	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/151_149.html		2024-2025	默认组
1	荷兰	荷兰	荷甲	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/16_98.html		2024-2025	默认组
2	荷兰	荷兰	荷乙	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/17_94.html		2024-2025	默认组
1	比利时	比利时	比甲	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/5_114.html		2024-2025	默认组
2	比利时	比利时	比乙	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/138_129.html		2024-2025	默认组
1	瑞典	瑞典	瑞典超	常规	http://zq.titan007.com/cn/SubLeague/2024/26.html		2024	默认组
2	瑞典	瑞典	瑞典甲	常规	http://zq.titan007.com/cn/SubLeague/2024/122_415.html		2024	默认组
2	瑞典	瑞典	瑞典乙	常规	http://zq.titan007.com/cn/SubLeague/2024/218_1449.html		2024	北部
3	瑞典	瑞典	瑞典乙	常规	http://zq.titan007.com/cn/SubLeague/2024/218_1448.html		2024	南部
1	瑞典	瑞典	瑞典女超	常规	http://zq.titan007.com/cn/SubLeague/2024/443_2865.html		2024	默认组
1	芬兰	芬兰	芬超	常规	http://zq.titan007.com/cn/SubLeague/2024/13_1570.html		2024	默认组
2	芬兰	芬兰	芬甲	常规	http://zq.titan007.com/cn/SubLeague/2024/212_413.html		2024	默认组
1	挪威	挪威	挪超	常规	http://zq.titan007.com/cn/SubLeague/2024/22.html		2024	默认组
2	挪威	挪威	挪甲	常规	http://zq.titan007.com/cn/SubLeague/2024/123_437.html		2024	默认组
1	丹麦	丹麦	丹麦超	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/7_1722.html		2024-2025	默认组
2	丹麦	丹麦	丹麦甲	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/127_1792.html		2024-2025	默认组
3	丹麦	丹麦	丹麦乙	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/1427_3129.html		2024-2025	默认组
1	奥地利	奥地利	奥甲	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/3_2021.html		2024-2025	默认组
2	奥地利	奥地利	奧乙	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/128.html		2024-2025	默认组
1	瑞士	瑞士	瑞士超	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/27_2507.html		2024-2025	默认组
2	瑞士	瑞士	瑞士甲	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/121.html		2024-2025	默认组
1	爱尔兰	爱尔兰	爱超	常规	http://zq.titan007.com/cn/SubLeague/2024/1.html		2024	默认组
2	爱尔兰	爱尔兰	爱甲	常规	http://zq.titan007.com/cn/SubLeague/2024/139_419.html		2024	默认组
1	北爱尔兰	北爱尔兰	北爱超	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/165_91.html		2024-2025	默认组
1	俄罗斯	俄罗斯	俄超	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/10_591.html		2024-2025	默认组
2	俄罗斯	俄罗斯	俄甲	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/235.html		2024-2025	默认组
1	波兰	波兰	波兰超	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/6.html		2024-2025	默认组
2	波兰	波兰	波兰乙	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/221_1298.html		2024-2025	默认组
1	乌克兰	乌克兰	乌克超	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/119.html		2024-2025	默认组
1	捷克	捷克	捷甲	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/137_2002.html		2024-2025	默认组
1	希腊	希腊	希腊超	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/32_102.html		2024-2025	默认组
1	罗马尼亚	罗马尼亚	罗甲	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/124_1573.html		2024-2025	默认组
1	斯洛伐克	斯洛伐克	斯伐超	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/132_1843.html		2024-2025	默认组
1	冰岛	冰岛	冰岛超	常规	http://zq.titan007.com/cn/SubLeague/2024/166_1192.html		2024	默认组
2	冰岛	冰岛	冰岛甲	常规	http://zq.titan007.com/cn/SubLeague/2024/381_2993.html		2024	默认组
1	拉脱维亚	拉脱维亚	拉脱超	常规	http://zq.titan007.com/cn/SubLeague/2024/214_2866.html		2024	默认组
1	以色列	以色列	以超	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/118_104.html		2024-2025	默认组
2	以色列	以色列	以甲	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/160_108.html		2024-2025	默认组
1	立陶宛	立陶宛	立陶甲	常规	http://zq.titan007.com/cn/SubLeague/2024/217.html		2024	默认组
1	土耳其	土耳其	土超	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/30.html		2024-2025	默认组
2	土耳其	土耳其	土甲	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/130_264.html		2024-2025	默认组
1	威尔士	威尔士	威超	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/135_475.html		2024-2025	默认组
1	克罗地亚	克罗地亚	克罗甲	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/133.html		2024-2025	默认组
1	保加利亚	保加利亚	保超	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/131_1093.html		2024-2025	默认组
1	斯洛文尼亚	斯洛文尼亚	斯亚甲	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/247_307.html		2024-2025	默认组
1	塞浦路斯	塞浦路斯	塞浦甲	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/159_110.html		2024-2025	默认组
1	塞维利亚	塞维利亚	塞尔超	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/129_1167.html		2024-2025	默认组
1	中国	中国	中超	常规	http://zq.titan007.com/cn/SubLeague/2024/60.html		2024	默认组
2	中国	中国	中甲	常规	http://zq.titan007.com/cn/SubLeague/2024/61.html		2024	默认组
1	中国	中国	香港超	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/311.html		2024-2025	默认组
1	日本	日本	日职联	常规	http://zq.titan007.com/cn/SubLeague/2024/25.html		2024	默认组
2	日本	日本	日职乙	常规	http://zq.titan007.com/cn/SubLeague/2024/284_808.html		2024	默认组
3	日本	日本	日职丙	常规	http://zq.titan007.com/cn/SubLeague/2024/1346_3213.html		2024	默认组
4	日本	日本	日足联	常规	http://zq.titan007.com/cn/SubLeague/2024/780_449.html		2024	默认组
1	韩国	韩国	韩K联	常规	http://zq.titan007.com/cn/SubLeague/2024/15_313.html		2024	默认组
2	韩国	韩国	韩K2联	常规	http://zq.titan007.com/cn/SubLeague/2024/1292_1212.html		2024	默认组
3	韩国	韩国	韩K3联	常规	http://zq.titan007.com/cn/SubLeague/2024/630_428.html		2024	默认组
1	澳大利亚	澳大利亚	澳超	常规	http://zq.titan007.com/cn/SubLeague/2024-2025/273_462.html		2024-2025	默认组
2	澳大利亚	澳大利亚	澳威超	常规	http://zq.titan007.com/cn/SubLeague/2024/616_375.html		2024	默认组
3	澳大利亚	澳大利亚	澳威甲	常规	http://zq.titan007.com/cn/SubLeague/2024/1255_2679.html		2024	默认组
2	澳大利亚	澳大利亚	澳维超	常规	http://zq.titan007.com/cn/SubLeague/2024/436_386.html		2024	默认组
3	澳大利亚	澳大利亚	澳维甲	常规	http://zq.titan007.com/cn/SubLeague/2024/1073.html		2024	默认组
3	澳大利亚	澳大利亚	澳南超	常规	http://zq.titan007.com/cn/SubLeague/2024/1029_483.html		2024	默认组
3	澳大利亚	澳大利亚	澳西超	常规	http://zq.titan007.com/cn/SubLeague/2024/481_558.html		2024	默认组
